Date,Close,ema21,ema50,atr14
2004-05-12,434.5,434.5,434.5,0.0
2004-07-11,437.95,434.81363636363636,434.6352941176471,0.2464285714285706
2004-10-31,433.62,434.70512396694215,434.5954786620531,0.5381122448979573
2004-11-14,447.02,435.82465815176556,435.08271479295297,1.4568185131195301
2004-11-21,452.62,437.35150741069594,435.7704514677391,1.7527600478967083
2004-11-28,455.82,439.03046128245086,436.55670827292585,1.8561343301897997
2004-12-12,441.18,439.22587389313713,436.7380138308503,2.769267592319099
2004-12-19,442.7,439.5417035392156,436.97181721003267,2.6800341928677334
2004-12-26,438.45,439.44245776292325,437.0297851625804,2.7921746076628953
2005-01-05,425.73,438.1958706935666,436.5866563326753,3.501304992829829
2005-01-16,426.75,437.1553369941514,436.200905103943,3.324068921913412
2005-01-23,426.8,436.21394272195585,435.83224215869035,3.090206856062455
2005-01-30,414.6,434.24903883814164,434.9996052112907,3.740906366343707
2005-02-01,418.95,432.8582171255833,434.370208928495,3.7844130544620116
2005-02-10,474.15,436.6120155687121,435.93020073522075,7.456954979143296
2005-02-13,427.43,435.77728688064735,435.596859529918,10.261458194918772
2005-02-20,434.93,435.7002608005885,435.5707081758036,10.064211180996004
2005-02-27,434.0,435.54569163689865,435.50911177675243,9.411767525210577
2005-03-04,425.12,434.59790148808963,435.1016956286445,9.373784130552679
2005-03-07,423.05,433.5480922618996,434.6290801137957,8.85208526408463
2005-03-13,439.35,434.07553841990875,434.8142142269802,9.384079173792871
2005-03-20,426.25,433.36412583628066,434.47836268866723,9.649502089950525
2005-03-27,426.15,432.7082962148006,434.1517602302881,8.967394797811203
2005-04-09,449.25,434.2120874680005,434.7438480643945,9.976866597967547
2005-04-12,526.05,442.56098860727315,438.32448147363397,14.749947555255575
2005-04-17,434.6,441.8372623702483,438.17842337662876,20.228522729880172
2005-04-24,434.88,441.204783972953,438.0490734402904,18.803628249174444
2005-05-06,427.35,439.94525815723,437.629501932828,17.998369088519127
2005-05-15,417.77,437.9293255974818,436.8506979354622,17.397057010767764
2005-05-22,420.05,436.3039323613471,436.19184703603236,16.317267224284354
2005-05-29,422.45,435.044483964861,435.652951073835,15.323176708264041
2005-06-02,420.88,433.7568036044191,435.0736196591748,14.340806943388039
2005-06-03,445.85,434.85618509492645,435.4962228097954,15.100035018860325
2005-06-11,468.7,437.9328955408422,436.79833171921524,15.653603946084585
2005-06-19,440.55,438.17081412803833,436.9454559655205,16.546203664221398
2005-06-26,427.65,437.21437648003484,436.58092828059813,16.285760545348445
2005-07-08,446.2,438.0312513454862,436.9581467793982,16.447491934966415
2005-07-17,424.9,436.8375012231693,436.48527827824535,16.794099653897387
2005-07-24,430.2,436.23409202106296,436.2387967771377,15.973092535761861
2005-07-31,437.95,436.3900836555118,436.3059027858774,15.385728783207442
2005-08-05,420.4,434.93643968682886,435.6821418923136,15.540319584406912
2005-08-14,436.3,435.06039971529896,435.70637162202684,15.566011042663565
2005-08-21,437.6,435.2912724684536,435.78063155841795,14.547010253901883
2005-08-28,444.65,436.14206588041236,436.1284499286761,14.011509521480317
2005-09-01,423.15,434.9609689821931,435.61949110794376,14.546401698517439
2005-09-10,469.6,438.1099718019937,436.95206008410287,16.82523014862334
2005-09-18,463.25,440.3954289109034,437.98335184551064,16.076999423721677
2005-09-25,469.15,443.00948082809396,439.2055733417651,15.350070893455841
2005-10-04,425.0,441.3722552982672,438.64849203424495,17.40720868678042
2005-10-07,421.55,439.5702320893338,437.97796293486283,16.41026520915325
2005-10-16,466.88,442.0529382630307,439.1113761531035,18.475960551356586
2005-10-23,473.45,444.90721660275517,440.45798885298177,17.62553479768826
2005-10-30,456.6,445.97019691159556,441.09100889796287,17.57013945499624
2005-11-09,459.75,447.2229062832687,441.8227340392192,16.54012949392508
2005-11-12,503.3,452.32082389388063,444.2336072141518,18.469405958644717
2005-11-13,485.8,455.3643853580733,445.8636618332047,18.40016267588438
2005-11-20,496.07,459.06489578006665,447.83253783974567,17.819436770464065
2005-11-27,503.4,463.0953598000606,450.0116540028929,17.070191286859487
2005-12-06,438.35,460.84578163641874,449.5543342380736,20.497320480655233
2005-12-18,503.0,464.6779833058352,451.65024269932564,23.651083303465573
2005-12-25,517.6,469.4890757325774,454.23650769150896,23.004577353218036
2006-01-01,539.65,475.8673415750704,457.58605640948906,22.9363932565596
2006-01-10,573.8,484.77031052279125,462.14346596205814,25.90879373823392
2006-01-15,553.8,491.0457368389011,465.737839845899,25.51530847121721
2006-01-22,559.55,497.2733971262737,469.4167480872363,24.921357866130265
2006-01-29,567.65,503.6712701147943,473.2690324759721,24.33411801854953
2006-02-04,588.45,511.3784273770857,477.7859331631889,24.795966731510283
2006-02-07,630.55,522.2122067064415,483.77668088227955,26.54625482211669
